,0
0,0.99994445
1,0.99982953
2,0.99512106
3,0.9997228
4,0.9997029
5,0.99328786
6,0.014800607
7,0.037261378
8,0.0096144
9,0.0159625
10,0.011371896
11,0.006576552
12,0.0123959035
13,0.041428003
14,0.03733614
15,0.99178314
16,0.14503133
17,0.88018125
18,0.001972718
19,0.013993318
20,0.9980598
21,0.35723478
22,0.038437843
23,0.99128073
24,0.015520763
25,0.055750642
26,0.03332312
27,0.13622068
28,0.20804216
29,0.9382757
30,0.004945214
31,0.009999093
32,0.15016437
33,0.048095647
34,0.9996916
35,0.10064452
36,0.6588756
37,0.0072236345
38,0.049405545
39,0.937464
40,0.01665327
41,0.99736685
42,0.115866184
43,0.16918126
44,0.014193234
45,0.14988062
46,0.135141
47,0.07557216
48,0.9981536
49,0.07557216
50,0.0110937925
51,0.11023281
52,0.9935121
53,0.07557216
54,0.0012929849
55,0.020297198
56,0.056933437
57,0.27026808
58,0.013579416
59,0.0012929849
60,0.55957514
61,0.040984575
62,0.9937959
63,0.9891265
64,0.9945648
65,0.98630387
66,0.14280033
67,0.98630387
68,0.9991339
69,0.9039117
70,0.011190018
71,0.9965611
72,0.9988049
73,0.9994649
74,0.9988049
75,0.9999795
76,0.8150963
77,0.008327946
78,0.05137758
79,0.9825445
80,0.09284503
81,0.029523095
82,0.13756658
83,0.13187589
84,0.9999795
85,0.29257575
86,0.11025151
87,0.067668445
88,0.99572575
89,0.99572575
90,0.5865287
91,0.027832242
92,0.020256897
93,0.10190861
94,0.057326443
95,0.00552482
96,0.005777435
97,0.074466415
98,0.989606
99,0.102744274
100,0.07597957
101,0.031079113
102,0.7313935
103,0.02964461
104,0.21339212
105,0.08759234
106,0.3733953
107,0.018791122
108,0.63354105
109,0.3733953
110,0.3733953
111,0.16418236
112,0.74993235
113,0.021189345
114,0.3733953
115,0.3733953
116,0.32123613
117,0.3733953
118,0.3733953
119,0.8331069
120,0.3733953
121,0.3733953
122,0.3733953
123,0.3733953
124,0.04129411
125,0.09479971
126,0.048282083
127,0.09641648
128,0.16588794
129,0.41056004
130,0.036556214
131,0.15070842
132,0.9939389
133,0.15737846
134,0.12973319
135,0.011066498
136,0.2860235
137,0.12063413
138,0.15242928
139,0.048282083
140,0.9298633
141,0.048282083
142,0.68324554
143,0.10010405
144,0.87338185
145,0.050073892
146,0.97494614
147,0.075382546
148,0.2641486
149,0.9984534
150,0.08452852
151,0.038752776
152,0.04891579
153,0.08849322
154,0.056704704
155,0.017479576
156,0.031099383
157,0.8297653
158,0.013954575
159,0.063600525
160,0.07050825
161,0.038632523
162,0.67104185
163,0.040558968
164,0.62118787
165,0.026101684
166,0.9989635
167,0.9998888
168,0.9994336
169,0.9997218
170,0.042479202
171,0.99842584
172,0.1958307
173,0.114276335
174,0.29439515
175,0.994873
176,0.36625648
177,0.9359475
178,0.9139999
179,0.03855422
180,0.9998888
181,0.23717502
182,0.10011247
183,0.1958307
184,0.4416736
185,0.014460744
186,0.6604804
187,0.004449871
188,0.9708589
189,0.18029964
190,0.0061205467
191,0.38334835
192,0.3924774
193,0.13365728
194,0.054977596
195,0.0021668733
196,0.92786866
197,0.060339946
198,0.101494394
199,0.9998888
200,0.9975036
201,0.0006537327
202,0.21009666
203,0.063436046
204,0.313284
205,0.023733366
206,0.30577168
207,0.9998977
208,0.005308014
209,0.067597754
210,0.029414523
211,0.27138793
212,0.024661886
213,0.053125758
214,0.9967386
215,0.76295733
216,0.6119934
217,0.98527414
218,0.98527414
219,0.9987355
220,0.98527414
221,0.98527414
222,0.0590147
223,0.0032995844
224,0.078607135
225,0.98527414
226,0.78728044
227,0.98527414
228,0.051241044
229,0.017807225
230,0.084161595
231,0.0039733625
232,0.023045009
233,0.13864325
234,0.072066575
235,0.036832165
236,0.45748675
237,0.018324517
238,0.9970325
239,0.02670934
240,0.020456487
241,0.07508322
242,0.023432568
243,0.300095
244,0.03860705
245,0.4490978
246,0.17123184
247,0.033545744
248,0.025951851
249,0.9146679
250,0.0018888408
251,0.05329832
252,0.08995511
253,0.09463496
254,0.015012549
255,0.05795014
256,0.9671641
257,0.81838936
258,0.81838936
259,0.031037673
260,0.88221925
261,0.28939772
262,0.90093774
263,0.8125849
264,0.33116198
265,0.7569945
266,0.10928177
267,0.9470117
268,0.9465905
269,0.9546019
270,0.998906
271,0.7370957
272,0.99833906
273,0.8951821
274,0.9947673
275,0.9828972
276,0.99897206
277,0.95922107
278,0.9369808
279,0.9978053
280,0.99969685
281,0.12867276
282,0.96594644
283,0.99867755
284,0.85404366
285,0.9817151
