,0
0,0.97414213
1,0.9998877
2,0.99991286
3,0.9998847
4,0.9993592
5,0.99957913
6,0.028029563
7,0.0013378296
8,0.0322456
9,0.031189559
10,0.020195814
11,0.01603825
12,0.013760571
13,0.043193847
14,0.0035701138
15,0.99990714
16,0.017465848
17,0.36629596
18,0.0012432431
19,0.0039393697
20,0.99468166
21,0.9322025
22,0.010417454
23,0.999843
24,0.02934016
25,0.99508506
26,0.8589763
27,0.4521451
28,0.2893613
29,0.9972031
30,0.0048043164
31,0.0064776586
32,0.2968163
33,0.30818486
34,0.9979102
35,0.00928585
36,0.970439
37,0.017951308
38,0.019415576
39,0.990153
40,0.014598161
41,0.99974173
42,0.45567018
43,0.37640288
44,0.022695001
45,0.13194932
46,0.07189538
47,0.011933568
48,0.9989065
49,0.011933568
50,0.004387868
51,0.028023874
52,0.9990758
53,0.011933568
54,0.07216396
55,0.005844292
56,0.027527839
57,0.6157971
58,0.01196373
59,0.07216396
60,0.8766845
61,0.009930402
62,0.99946636
63,0.9996395
64,0.997924
65,0.9995005
66,0.024817333
67,0.9995005
68,0.99857616
69,0.99591726
70,0.46709824
71,0.9968458
72,0.9995252
73,0.99966955
74,0.9995252
75,0.9840481
76,0.92627823
77,0.035012588
78,0.92621267
79,0.99833065
80,0.06952328
81,0.024796885
82,0.08103345
83,0.9090939
84,0.9840481
85,0.6209002
86,0.16430642
87,0.33537772
88,0.99992716
89,0.99992716
90,0.36660713
91,0.049549337
92,0.0206374
93,0.028193602
94,0.002971267
95,0.016240662
96,0.01051075
97,0.3578615
98,0.99895084
99,0.06674463
100,0.25297534
101,0.71743435
102,0.9987331
103,0.0359683
104,0.90134937
105,0.052458756
106,0.057524633
107,0.008854864
108,0.15292603
109,0.057524633
110,0.057524633
111,0.41968107
112,0.95216554
113,0.025602028
114,0.057524633
115,0.057524633
116,0.50645816
117,0.057524633
118,0.057524633
119,0.67626804
120,0.057524633
121,0.057524633
122,0.057524633
123,0.057524633
124,0.078970045
125,0.036553875
126,0.008213938
127,0.028035125
128,0.110215195
129,0.3308642
130,0.03558963
131,0.025193822
132,0.83017796
133,0.7944169
134,0.006612044
135,0.020606404
136,0.9398246
137,0.034107212
138,0.23510997
139,0.008213938
140,0.9988445
141,0.008213938
142,0.2220308
143,0.17837453
144,0.039911784
145,0.028259302
146,0.9121924
147,0.007893276
148,0.019035183
149,0.96663505
150,0.0049002157
151,0.1028746
152,0.008904648
153,0.021332964
154,0.00022300902
155,0.004257477
156,0.00027167815
157,0.9953022
158,0.012532333
159,0.010201983
160,0.008313361
161,0.009780204
162,0.08854724
163,0.036090013
164,0.01275062
165,0.005326854
166,0.9996511
167,0.99978906
168,0.99975795
169,0.99988997
170,0.31387883
171,0.9973948
172,0.7829999
173,0.05260473
174,0.5799064
175,0.997795
176,0.9550004
177,0.98231226
178,0.99151015
179,0.025793519
180,0.99978906
181,0.094468735
182,0.14198564
183,0.7829999
184,0.996705
185,0.07773699
186,0.23356286
187,0.021174718
188,0.99979883
189,0.99643636
190,0.030607007
191,0.999456
192,0.98111373
193,0.03787456
194,0.0076996097
195,0.0039799083
196,0.99935204
197,0.8178729
